Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group
FPix_BpI_D2_BLD1_PNL1_RNG2,,17B,M-P-2-35,6203,2,2Bd,2BA,1,PR057,,PB-32,J11,1,,,CI-A 052,P100,1,SN112498/0036,8,30201210004614,B,0x7d,0x11,+z up right 3,1,+z up right 2,3,14,red-7,13/14,1,t,1280,top,,9,2,2,2d2
FPix_BpI_D3_BLD11_PNL2_RNG1,HC3-Disk3-Inner,1T,M-P-2-07,4289,15,3Ta,3TD,6,PR109,,PB-44,J12,4,,,CI-A 047,P56,22,SN112498/0029,13,30201210004643,A,0x7b,0x12,+z down right 3,1,+z down right 2,4,1,turquoise-12,47/48,7,b,1286,top,,9,4,1,3a3
FPix_BpI_D3_BLD10_PNL2_RNG1,,2T,M-Q-A-09,4252,14,3Ta,3TD,4,PR109,,PB-44,J12,4,,,CI-A 047,P56,21,SN112498/0026,13,30201210004643,A,0x7b,0x12,+z down right 3,2,+z down right 2,4,2,turquoise-12,23/24,7,t,1286,top,,9,4,1,3a3
FPix_BpI_D3_BLD9_PNL2_RNG1,,3T,M-Q-4-40,4191,13,3Ta,3TD,2,PR109,,PB-44,J12,4,,,CI-A 047,P56,20,SN112498/0002,13,30201210004643,A,0x7b,0x12,+z down right 3,3,+z down right 2,4,3,turquoise-12,47/48,6,b,1285,top,,9,4,1,3a3
FPix_BpI_D3_BLD8_PNL2_RNG1,,4T,M-Q-3-47,4198,15,3Tb,3TC,6,PR112,,PB-8,J12,4,,,CI-A 019,P55,18,SN112498/0037,13,30201210004643,B,0x7c,0x12,+z down right 4,1,+z down right 2,4,5,violet-10,43/44,5,b,1284,top,,9,4,2,3b3
FPix_BpI_D3_BLD7_PNL2_RNG1,,5T,M-N-2-24,4242,14,3Tb,3TC,2,PR112,,PB-8,J12,4,,,CI-A 019,P55,16,SN112498/0006,13,30201210004643,B,0x7c,0x12,+z down right 4,3,+z down right 2,4,7,violet-10,43/44,4,b,1283,top,,9,4,2,3b3
FPix_BpI_D3_BLD6_PNL2_RNG1,,6T,M-Q-6-21,4278,15,3Tc,3TB,6,PR151,,PB-53,J12,4,,,CI-A 041,P70,11,SN112498/0010,7,30201210004690,A,0x7e,0x12,+z up right 4,3,+z up right 2,4,8,turquoise-12,23/24,4,t,1283,top,,9,3,1,3c3
FPix_BpI_D3_BLD5_PNL2_RNG1,,7T,M-Q-6-10,4225,14,3Tc,3TB,4,PR151,,PB-53,J12,4,,,CI-A 041,P70,10,SN112498/0009,7,30201210004690,A,0x7e,0x12,+z up right 4,2,+z up right 2,4,9,turquoise-12,47/48,3,b,1282,top,,9,3,1,3c3
FPix_BpI_D3_BLD4_PNL2_RNG1,,8T,M-Y-M-NQ,4229,13,3Tc,3TB,2,PR151,,PB-53,J12,4,,,CI-A 041,P70,5,SN112498/0008,7,30201210004690,A,0x7e,0x12,+z up right 4,1,+z up right 2,4,10,turquoise-12,23/24,3,t,1282,top,,9,3,1,3c3
FPix_BpI_D3_BLD3_PNL2_RNG1,,9T,M-Q-3-39,4228,15,3Td,3TA,6,PR147,,PB-43,J12,4,,,CI-A 030,P57,3,SN112498/0031,7,30201210004690,B,0x7d,0x12,+z up right 3,3,+z up right 2,4,12,violet-10,19/20,2,t,1281,top,,9,3,2,3d3
FPix_BpI_D3_BLD2_PNL2_RNG1,,10T,M-I-3-10,4194,14,3Td,3TA,4,PR147,,PB-43,J12,4,,,CI-A 030,P57,2,SN112498/0030,7,30201210004690,B,0x7d,0x12,+z up right 3,2,+z up right 2,4,13,violet-10,43/44,1,b,1280,top,,9,3,2,3d3
FPix_BpI_D3_BLD1_PNL2_RNG1,,11T,M-Q-6-09,4237,13,3Td,3TA,2,PR147,,PB-43,J12,4,,,CI-A 030,P57,1,SN112498/0036,7,30201210004690,B,0x7d,0x12,+z up right 3,1,+z up right 2,4,14,violet-10,19/20,1,t,1280,top,,9,3,2,3d3
FPix_BpI_D3_BLD11_PNL1_RNG1,,1B,M-Q-3-22,4230,12,3Ba,3BD,6,PR009,,PB-44,J11,2,,,CI-A 047,FP28,22,SN112498/0029,13,30201210004643,A,0x7b,0x12,+z down right 3,1,+z down right 2,4,1,pink-11,45/46,7,b,1286,top,,9,4,1,3a1
FPix_BpI_D3_BLD10_PNL1_RNG1,,2B,M-I-2-43,4292,11,3Ba,3BD,4,PR009,,PB-44,J11,2,,,CI-A 047,FP28,21,SN112498/0026,13,30201210004643,A,0x7b,0x12,+z down right 3,2,+z down right 2,4,2,pink-11,21/22,7,t,1286,top,,9,4,1,3a1
FPix_BpI_D3_BLD9_PNL1_RNG1,,3B,M-N-3-48,4193,10,3Ba,3BD,2,PR009,,PB-44,J11,2,,,CI-A 047,FP28,20,SN112498/0002,13,30201210004643,A,0x7b,0x12,+z down right 3,3,+z down right 2,4,3,pink-11,45/46,6,b,1285,top,,9,4,1,3a1
FPix_BpI_D3_BLD8_PNL1_RNG1,,4B,M-Q-6-29,4231,13,3Bb,3BC,6,PR012,,PB-8,J11,2,,,CI-A 019,P86,18,SN112498/0037,13,30201210004643,B,0x7c,0x12,+z down right 4,1,+z down right 2,4,5,yellow-9,41/42,5,b,1284,top,,9,4,2,3b1
FPix_BpI_D3_BLD7_PNL1_RNG1,,5B,M-Q-4-46,4232,12,3Bb,3BC,2,PR012,,PB-8,J11,2,,,CI-A 019,P86,16,SN112498/0006,13,30201210004643,B,0x7c,0x12,+z down right 4,3,+z down right 2,4,7,yellow-9,41/42,4,b,1283,top,,9,4,2,3b1
FPix_BpI_D3_BLD6_PNL1_RNG1,,6B,M-Y-H-NB,4238,12,3Bc,3BB,6,PR051,,PB-53,J11,2,,,CI-A 041,FP30,11,SN112498/0010,7,30201210004690,A,0x7e,0x12,+z up right 4,3,+z up right 2,4,8,pink-11,21/22,4,t,1283,top,,9,3,1,3c1
FPix_BpI_D3_BLD5_PNL1_RNG1,,7B,M-Q-A-07,4199,11,3Bc,3BB,4,PR051,,PB-53,J11,2,,,CI-A 041,FP30,10,SN112498/0009,7,30201210004690,A,0x7e,0x12,+z up right 4,2,+z up right 2,4,9,pink-11,45/46,3,b,1282,top,,9,3,1,3c1
FPix_BpI_D3_BLD4_PNL1_RNG1,,8B,M-Q-6-28,4261,10,3Bc,3BB,2,PR051,,PB-53,J11,2,,,CI-A 041,FP30,5,SN112498/0008,7,30201210004690,A,0x7e,0x12,+z up right 4,1,+z up right 2,4,10,pink-11,21/22,3,t,1282,top,,9,3,1,3c1
FPix_BpI_D3_BLD3_PNL1_RNG1,,9B,M-L-3-21,4253,12,3Bd,3BA,6,PR047,,PB-43,J11,2,,,CI-A 030,P74,3,SN112498/0031,7,30201210004690,B,0x7d,0x12,+z up right 3,3,+z up right 2,4,12,yellow-9,17/18,2,t,1281,top,,9,3,2,3d1
FPix_BpI_D3_BLD2_PNL1_RNG1,,10B,M-Q-9-09,4254,11,3Bd,3BA,4,PR047,,PB-43,J11,2,,,CI-A 030,P74,2,SN112498/0030,7,30201210004690,B,0x7d,0x12,+z up right 3,2,+z up right 2,4,13,yellow-9,41/42,1,b,1280,top,,9,3,2,3d1
FPix_BpI_D3_BLD1_PNL1_RNG1,,11B,M-G-2-36,4250,10,3Bd,3BA,2,PR047,,PB-43,J11,2,,,CI-A 030,P74,1,SN112498/0036,7,30201210004690,B,0x7d,0x12,+z up right 3,1,+z up right 2,4,14,yellow-9,17/18,1,t,1280,top,,9,3,2,3d1
FPix_BpI_D3_BLD17_PNL2_RNG2,HC3-Disk3-Outer,1T,M-M-1-32,4264,9,3Ta,3TD,7,PR109,,PB-44,J12,3,,,CI-A 047,P56,22,SN112498/0029,13,30201210004643,A,0x7b,0x12,+z down right 3,1,+z down right 2,4,1,violet-10,43/44,7,b,1286,top,,9,4,1,3a4
FPix_BpI_D3_BLD16_PNL2_RNG2,,2T,M-I-3-42,4322,8,3Ta,3TD,5,PR109,,PB-44,J12,3,,,CI-A 047,P56,21,SN112498/0026,13,30201210004643,A,0x7b,0x12,+z down right 3,2,+z down right 2,4,2,violet-10,19/20,7,t,1286,top,,9,4,1,3a4
FPix_BpI_D3_BLD15_PNL2_RNG2,,3T,M-L-4-34,4304,7,3Ta,3TD,3,PR109,,PB-44,J12,3,,,CI-A 047,P56,20,SN112498/0002,13,30201210004643,A,0x7b,0x12,+z down right 3,3,+z down right 2,4,3,violet-10,43/44,6,b,1285,top,,9,4,1,3a4
FPix_BpI_D3_BLD14_PNL2_RNG2,,4T,M-I-2-34,4301,6,3Ta,3TD,1,PR109,,PB-44,J12,3,,,CI-A 047,P56,19,SN112498/0003,13,30201210004643,A,0x7b,0x12,+z down right 3,4,+z down right 2,4,4,violet-10,19/20,6,t,1285,top,,9,4,1,3a4
FPix_BpI_D3_BLD13_PNL2_RNG2,,5T,M-Q-4-29,4287,11,3Tb,3TC,7,PR112,,PB-8,J12,3,,,CI-A 019,P55,19,SN112498/0003,13,30201210004643,B,0x7c,0x12,+z down right 3,4,+z down right 2,4,4,turquoise-12,23/24,6,t,1285,top,,9,4,2,3b4
FPix_BpI_D3_BLD12_PNL2_RNG2,,6T,M-Q-3-19,4293,10,3Tb,3TC,5,PR112,,PB-8,J12,3,,,CI-A 019,P55,18,SN112498/0037,13,30201210004643,B,0x7c,0x12,+z down right 4,1,+z down right 2,4,5,turquoise-12,47/48,5,b,1284,top,,9,4,2,3b4
FPix_BpI_D3_BLD11_PNL2_RNG2,,7T,M-P-5-09,4324,9,3Tb,3TC,4,PR112,,PB-8,J12,4,,,CI-A 019,P55,17,SN112498/0005,13,30201210004643,B,0x7c,0x12,+z down right 4,2,+z down right 2,4,6,violet-10,19/20,5,t,1284,top,,9,4,2,3b4
FPix_BpI_D3_BLD10_PNL2_RNG2,,8T,M-Q-8-25,4305,8,3Tb,3TC,3,PR112,,PB-8,J12,3,,,CI-A 019,P55,17,SN112498/0005,13,30201210004643,B,0x7c,0x12,+z down right 4,2,+z down right 2,4,6,turquoise-12,23/24,5,t,1284,top,,9,4,2,3b4
FPix_BpI_D3_BLD9_PNL2_RNG2,,9T,M-M-2-09,4321,7,3Tb,3TC,1,PR112,,PB-8,J12,3,,,CI-A 019,P55,16,SN112498/0006,13,30201210004643,B,0x7c,0x12,+z down right 4,3,+z down right 2,4,7,turquoise-12,47/48,4,b,1283,top,,9,4,2,3b4
FPix_BpI_D3_BLD8_PNL2_RNG2,,10T,M-Q-9-16,4300,9,3Tc,3TB,7,PR151,,PB-53,J12,3,,,CI-A 041,P70,11,SN112498/0010,7,30201210004690,A,0x7e,0x12,+z up right 4,3,+z up right 2,4,8,violet-10,19/20,4,t,1283,top,,9,3,1,3c4
FPix_BpI_D3_BLD7_PNL2_RNG2,,11T,M-Q-2-48,4294,8,3Tc,3TB,5,PR151,,PB-53,J12,3,,,CI-A 041,P70,10,SN112498/0009,7,30201210004690,A,0x7e,0x12,+z up right 4,2,+z up right 2,4,9,violet-10,43/44,3,b,1282,top,,9,3,1,3c4
FPix_BpI_D3_BLD6_PNL2_RNG2,,12T,M-Q-6-39,4320,7,3Tc,3TB,3,PR151,,PB-53,J12,3,,,CI-A 041,P70,5,SN112498/0008,7,30201210004690,A,0x7e,0x12,+z up right 4,1,+z up right 2,4,10,violet-10,19/20,3,t,1282,top,,9,3,1,3c4
FPix_BpI_D3_BLD5_PNL2_RNG2,,13T,M-Q-9-27,4285,6,3Tc,3TB,1,PR151,,PB-53,J12,3,,,CI-A 041,P70,4,SN112498/0040,7,30201210004690,A,0x7e,0x12,+z up right 3,4,+z up right 2,4,11,violet-10,43/44,2,b,1281,top,,9,3,1,3c4
FPix_BpI_D3_BLD4_PNL2_RNG2,,14T,M-Q-4-15,4283,9,3Td,3TA,7,PR147,,PB-43,J12,3,,,CI-A 030,P57,4,SN112498/0040,7,30201210004690,B,0x7d,0x12,+z up right 3,4,+z up right 2,4,11,turquoise-12,47/48,2,b,1281,top,,9,3,2,3d4
FPix_BpI_D3_BLD3_PNL2_RNG2,,15T,M-Q-4-17,4296,8,3Td,3TA,5,PR147,,PB-43,J12,3,,,CI-A 030,P57,3,SN112498/0031,7,30201210004690,B,0x7d,0x12,+z up right 3,3,+z up right 2,4,12,turquoise-12,23/24,2,t,1281,top,,9,3,2,3d4
FPix_BpI_D3_BLD2_PNL2_RNG2,,16T,M-M-3-23,4272,7,3Td,3TA,3,PR147,,PB-43,J12,3,,,CI-A 030,P57,2,SN112498/0030,7,30201210004690,B,0x7d,0x12,+z up right 3,2,+z up right 2,4,13,turquoise-12,47/48,1,b,1280,top,,9,3,2,3d4
FPix_BpI_D3_BLD1_PNL2_RNG2,,17T,M-Q-7-06,4318,6,3Td,3TA,1,PR147,,PB-43,J12,3,,,CI-A 030,P57,1,SN112498/0036,7,30201210004690,B,0x7d,0x12,+z up right 3,1,+z up right 2,4,14,turquoise-12,23/24,1,t,1280,top,,9,3,2,3d4
FPix_BpI_D3_BLD17_PNL1_RNG2,,1B,M-Q-3-26,4291,5,3Ba,3BD,7,PR009,,PB-44,J11,1,,,CI-A 047,FP28,22,SN112498/0029,13,30201210004643,A,0x7b,0x12,+z down right 3,1,+z down right 2,4,1,yellow-9,41/42,7,b,1286,top,,9,4,1,3a2
FPix_BpI_D3_BLD16_PNL1_RNG2,,2B,M-Q-9-40,4263,4,3Ba,3BD,5,PR009,,PB-44,J11,1,,,CI-A 047,FP28,21,SN112498/0026,13,30201210004643,A,0x7b,0x12,+z down right 3,2,+z down right 2,4,2,yellow-9,17/18,7,t,1286,top,,9,4,1,3a2
FPix_BpI_D3_BLD15_PNL1_RNG2,,3B,M-Q-4-06,4295,3,3Ba,3BD,3,PR009,,PB-44,J11,1,,,CI-A 047,FP28,20,SN112498/0002,13,30201210004643,A,0x7b,0x12,+z down right 3,3,+z down right 2,4,3,yellow-9,41/42,6,b,1285,top,,9,4,1,3a2
FPix_BpI_D3_BLD14_PNL1_RNG2,,4B,M-K-3-48,4275,2,3Ba,3BD,1,PR009,,PB-44,J11,1,,,CI-A 047,FP28,19,SN112498/0003,13,30201210004643,A,0x7b,0x12,+z down right 3,4,+z down right 2,4,4,yellow-9,17/18,6,t,1285,top,,9,4,1,3a2
FPix_BpI_D3_BLD13_PNL1_RNG2,,5B,M-Q-4-24,4319,6,3Bb,3BC,7,PR012,,PB-8,J11,1,,,CI-A 019,P86,19,SN112498/0003,13,30201210004643,B,0x7c,0x12,+z down right 3,4,+z down right 2,4,4,pink-11,21/22,6,t,1285,top,,9,4,2,3b2
FPix_BpI_D3_BLD12_PNL1_RNG2,,6B,M-P-5-34,4317,5,3Bb,3BC,5,PR012,,PB-8,J11,1,,,CI-A 019,P86,18,SN112498/0037,13,30201210004643,B,0x7c,0x12,+z down right 4,1,+z down right 2,4,5,pink-11,45/46,5,b,1284,top,,9,4,2,3b2
FPix_BpI_D3_BLD11_PNL1_RNG2,,7B,M-P-2-38,4271,4,3Bb,3BC,4,PR012,,PB-8,J11,2,,,CI-A 019,P86,17,SN112498/0005,13,30201210004643,B,0x7c,0x12,+z down right 4,2,+z down right 2,4,6,yellow-9,17/18,5,t,1284,top,,9,4,2,3b2
FPix_BpI_D3_BLD10_PNL1_RNG2,,8B,M-Q-9-24,4277,3,3Bb,3BC,3,PR012,,PB-8,J11,1,,,CI-A 019,P86,17,SN112498/0005,13,30201210004643,B,0x7c,0x12,+z down right 4,2,+z down right 2,4,6,pink-11,21/22,5,t,1284,top,,9,4,2,3b2
FPix_BpI_D3_BLD9_PNL1_RNG2,,9B,M-Q-A-48,4299,2,3Bb,3BC,1,PR012,,PB-8,J11,1,,,CI-A 019,P86,16,SN112498/0006,13,30201210004643,B,0x7c,0x12,+z down right 4,3,+z down right 2,4,7,pink-11,45/46,4,b,1283,top,,9,4,2,3b2
FPix_BpI_D3_BLD8_PNL1_RNG2,,10B,M-Q-A-37,4323,5,3Bc,3BB,7,PR051,,PB-53,J11,1,,,CI-A 041,FP30,11,SN112498/0010,7,30201210004690,A,0x7e,0x12,+z up right 4,3,+z up right 2,4,8,yellow-9,17/18,4,t,1283,top,,9,3,1,3c2
FPix_BpI_D3_BLD7_PNL1_RNG2,,11B,M-Q-7-21,4297,4,3Bc,3BB,5,PR051,,PB-53,J11,1,,,CI-A 041,FP30,10,SN112498/0009,7,30201210004690,A,0x7e,0x12,+z up right 4,2,+z up right 2,4,9,yellow-9,41/42,3,b,1282,top,,9,3,1,3c2
FPix_BpI_D3_BLD6_PNL1_RNG2,,12B,M-Q-3-07,4326,3,3Bc,3BB,3,PR051,,PB-53,J11,1,,,CI-A 041,FP30,5,SN112498/0008,7,30201210004690,A,0x7e,0x12,+z up right 4,1,+z up right 2,4,10,yellow-9,17/18,3,t,1282,top,,9,3,1,3c2
FPix_BpI_D3_BLD5_PNL1_RNG2,,13B,M-Q-3-32,4281,2,3Bc,3BB,1,PR051,,PB-53,J11,1,,,CI-A 041,FP30,4,SN112498/0040,7,30201210004690,A,0x7e,0x12,+z up right 3,4,+z up right 2,4,11,yellow-9,41/42,2,b,1281,top,,9,3,1,3c2
FPix_BpI_D3_BLD4_PNL1_RNG2,,14B,M-M-1-40,4276,5,3Bd,3BA,7,PR047,,PB-43,J11,1,,,CI-A 030,P74,4,SN112498/0040,7,30201210004690,B,0x7d,0x12,+z up right 3,4,+z up right 2,4,11,pink-11,45/46,2,b,1281,top,,9,3,2,3d2
FPix_BpI_D3_BLD3_PNL1_RNG2,,15B,M-Q-4-07,4274,4,3Bd,3BA,5,PR047,,PB-43,J11,1,,,CI-A 030,P74,3,SN112498/0031,7,30201210004690,B,0x7d,0x12,+z up right 3,3,+z up right 2,4,12,pink-11,21/22,2,t,1281,top,,9,3,2,3d2
FPix_BpI_D3_BLD2_PNL1_RNG2,,16B,M-Q-6-01,4279,3,3Bd,3BA,3,PR047,,PB-43,J11,1,,,CI-A 030,P74,2,SN112498/0030,7,30201210004690,B,0x7d,0x12,+z up right 3,2,+z up right 2,4,13,pink-11,45/46,1,b,1280,top,,9,3,2,3d2
FPix_BpI_D3_BLD1_PNL1_RNG2,,17B,M-Q-A-38,4286,2,3Bd,3BA,1,PR047,,PB-43,J11,1,,,CI-A 030,P74,1,SN112498/0036,7,30201210004690,B,0x7d,0x12,+z up right 3,1,+z up right 2,4,14,pink-11,21/22,1,t,1280,top,,9,3,2,3d2